"country","percPoverty","dataYear","lessThan10","lessThan550"
"Sri Lanka",4.1,2016,74.61,37.32
"Kazakhstan",4.3,2018,40.98,3.67
"Malaysia",5.6,2018,10.14,1.39
"Chile",8.6,2017,18.61,3.38
"Czech Republic",10.1,2018,,
"Australia",12.4,2018,1.48,0.74
"Netherlands",13.6,2019,0.71,0.34
"Belgium",14.8,2018,0.42,0.16
"Tunisia",15.2,2015,54.47,16.41
"Jordan",15.7,2018,58.66,16.25
"Sweden",17.1,2018,2.16,1.21
"Cambodia",17.7,2012,,
"Peru",20.2,2019,48.36,20.57
"Dominican Republic",21,2019,40.91,12.4
"Ghana",23.4,2016,78.45,50.27
"Romania",23.8,2018,23.66,9.82
"Ecuador",25,2019,52.99,25.39
"Nepal",25.2,2010,91.73,67.91
"Venezuela",33.1,2015,,
"Syria",35.2,2007,97.23,88.68
"Bolivia",37.2,2019,49.14,19.9
"Cameroon",37.5,2014,87.86,67.59
"Rwanda",38.2,2016,97.42,90.04
"Zimbabwe",38.3,2019,93.08,82.78
"Benin",38.5,2019,95.52,89.54
"Ivory Coast",39.5,2018,93.14,76.9
"Niger",40.8,2018,98.61,91.89
"Burkina Faso",41.4,2018,97.53,89.96
"Mali",42.1,2019,99.17,93.29
"Chad",42.3,2018,97.09,88
"Guinea",43.7,2018,97.31,85.7
"Mozambique",46.1,2014,96.83,91.77
"Sudan",46.5,2009,95.98,80.69
"Senegal",46.7,2011,94.36,81.86
"Honduras",48.3,2018,74,48.99
"Yemen",48.6,2014,99.13,94.55
"Malawi",51.5,2016,99.07,96.33
"Zambia",54.4,2015,95.57,87.95
"Afghanistan",54.5,2016,,
"Haiti",58.5,2012,92.64,73.5
"Guatemala",59.3,2014,72.16,43.29
"Madagascar",70.7,2012,99.41,97.09
"Taiwan",,2019,0.5,0.25
"Somalia",,2019,99.63,97.87
"Burundi",64.9,2013,99.7,98.02
"South Sudan",76.4,2016,99.7,98.44
"United Arab Emirates",,2019,0.73,0
"Laos",18.3,2018,90.71,69.51
"Serbia",23.2,2018,31.85,4.99
"Bulgaria",23.8,2019,16.05,6.1
"Nicaragua",24.9,2016,68.03,35.49
"Lebanon",27.4,2011,15.23,2.5
"Mongolia",28.4,2018,62.34,22.3
"Palestine",29.2,2018,57.33,22.32
"Republic of the Congo",40.9,2011,97.29,91.94
"Micronesia",41.2,2013,90.54,68.81
"Timor-Leste",41.8,2014,,
"Comoros",42.4,2013,86.57,63.94
"Gambia",48.6,2015,92.05,68.09
"Lesotho",49.7,2017,91.97,74.06
"Togo",55.1,2015,97.52,88.31
"Sierra Leone",56.8,2018,98.01,92.08
"Turkmenistan",,2019,63.98,30.33
"Slovakia",,2019,6.13,2.45
"Mauritania",31,2014,88.82,56.33
"Liberia",50.9,2016,99.32,94.46
"Eswatini",58.9,2016,84.71,70.93
"Central African Republic",62,2008,97.78,94.26
"Guinea-Bissau",69.3,2010,96.56,92.21
"Equatorial Guinea",76.8,2006,,
"Trinidad and Tobago",,2019,22.15,6.12
"Guyana",,2019,53.95,23.84
"Suriname",,2019,62.34,38.31
"Cape Verde",,2019,65.72,34.23
"Belize",,2019,77.63,53.77
"Sao Tome and Principe",66.7,2017,94.74,86.18
"Eritrea",69,1993,,
"Nauru",,2019,67.19,27.29
